date,service,cost,account_id,region
2023-01-01,S3,78.92,A1890,eu-central-1
2023-01-01,CloudWatch,156.36,A1640,us-west-2
2023-01-01,S3,49.53,A2628,us-east-1
2023-01-01,Lambda,23.72,A7352,eu-central-1
2023-01-01,CloudWatch,107.87,A9129,eu-central-1
2023-01-01,EC2,59.83,A9326,eu-central-1
2023-01-01,Lambda,54.07,A6639,eu-central-1
2023-01-01,Lambda,124.18,A5468,eu-central-1
2023-01-01,RDS,38.9,A3862,eu-central-1
2023-01-01,RDS,32.0,A8173,eu-central-1
2023-01-01,S3,57.76,A5707,eu-central-1
2023-01-01,S3,39.83,A8572,eu-central-1
2023-01-01,S3,100.05,A7107,us-east-1
2023-01-02,CloudWatch,198.76,A8056,eu-central-1
2023-01-02,S3,115.67,A5423,eu-central-1
2023-01-02,CloudWatch,23.83,A7934,us-west-2
2023-01-02,RDS,169.81,A9753,us-east-1
2023-01-02,CloudWatch,38.89,A1742,us-west-2
2023-01-02,EC2,82.98,A1622,us-west-2
2023-01-02,S3,178.51,A6807,us-east-1
2023-01-02,RDS,7.93,A7239,us-west-2
2023-01-02,CloudWatch,11.95,A9957,us-east-1
2023-01-03,EC2,95.55,A9237,us-east-1
2023-01-03,EC2,65.86,A9012,eu-central-1
2023-01-03,RDS,74.6,A1315,eu-central-1
2023-01-03,Lambda,154.62,A8758,us-west-2
2023-01-03,Lambda,162.06,A5830,eu-central-1
2023-01-03,RDS,157.44,A3794,eu-central-1
2023-01-04,Lambda,174.13,A7700,us-west-2
2023-01-04,CloudWatch,188.78,A4160,eu-central-1
2023-01-04,Lambda,143.05,A2074,eu-central-1
2023-01-04,RDS,120.82,A3888,us-west-2
2023-01-04,EC2,24.74,A1904,us-east-1
2023-01-04,RDS,47.29,A7573,us-west-2
2023-01-04,EC2,69.46,A3240,eu-central-1
2023-01-04,S3,124.5,A8913,eu-central-1
2023-01-04,CloudWatch,120.83,A6669,us-west-2
2023-01-04,CloudWatch,51.17,A2949,us-east-1
2023-01-04,EC2,149.32,A8959,us-west-2
2023-01-05,CloudWatch,26.95,A2796,us-west-2
2023-01-05,EC2,173.35,A2810,us-east-1
2023-01-05,S3,67.12,A3957,eu-central-1
2023-01-05,S3,137.38,A5000,us-east-1
2023-01-05,CloudWatch,40.93,A9963,us-east-1
2023-01-05,S3,61.72,A6325,us-east-1
2023-01-05,EC2,85.1,A7768,us-east-1
2023-01-05,CloudWatch,92.93,A3431,us-west-2
2023-01-05,EC2,73.01,A8064,us-east-1
